bucket,replicate,task_id,position,delta,verdict,relevant_note_used,evidence,repository,n_notes,sim_mean,sim_min,sim_max
improved,shuffle1,task-6905333b74f22949d97ba9ac,1,0.4,not-retrieval,False,store confirmed empty at position 1 (first task in repo); win came from repo-scope actually executing the app live vs control's static-only reading,simple-login/app,1,66.0,66.0,66.0
improved,pilot30,task-6905333b74f22949d97baa1d,15,0.375,retrieval-driven,True,"session TTL/cookie-structure note (68%/58% similarity) reused near-verbatim: ""7 days authenticated / 5 min anonymous"", UUID4 signed session_id",simple-login/app,26,44.7,31.0,68.0
improved,pilot30,task-6905333b74f22949d97ba9a5,2,0.308,not-retrieval,False,retrieved notes tangential/unused (generic architecture); win = ordinary more-accurate independent investigation than control,simple-login/app,6,37.5,33.0,46.0
improved,shuffle1,task-6905333b74f22949d97ba9d3,1,0.273,not-retrieval,False,store confirmed empty at position 1; win came from repo-scope reading docker/supervisord.conf that control skipped,paperless-ngx/paperless-ngx,2,50.0,49.0,51.0
improved,shuffle1,task-6905333b74f22949d97ba9d5,15,0.214,retrieval-driven,True,ingestion log-message note (63% similarity) reused almost verbatim for 3 of 5 flipped rubrics (mime-type/parsing/save log lines),paperless-ngx/paperless-ngx,13,59.5,44.0,68.0
improved,shuffle2,task-6905333b74f22949d97ba9d9,6,0.2,retrieval-driven,True,"supervisord/qcluster architecture note (72% similarity) reused near-verbatim, directly satisfying the runtime-evidence rubric",paperless-ngx/paperless-ngx,20,41.2,29.0,72.0
improved,shuffle2,task-6905333b74f22949d97ba9ad,15,0.182,retrieval-driven,True,"two notes reused: dashboard-redirect-flow note (67%) and ""Take job"" log-line note (58%), both paraphrased almost verbatim in the answer",simple-login/app,26,56.2,37.0,67.0
improved,shuffle2,task-6905333b74f22949d97ba9aa,11,0.167,retrieval-driven,True,"GET /auth/login behavior note (45% similarity) reused -- though presented in the answer as if freshly verified via curl, which it wasn't",simple-login/app,26,53.0,39.0,75.0
degraded,pilot30,task-6905333b74f22949d97ba9d1,2,-0.25,not-retrieval,False,"single memory_search returned ""No relevant memories found"" -- nothing to retrieve",paperless-ngx/paperless-ngx,0,,,
degraded,shuffle1,task-6905333b74f22949d97ba9e0,2,-0.25,not-retrieval,False,"retrieved notes unrelated (40% similarity, generic architecture), never referenced in the wrong answer",paperless-ngx/paperless-ngx,2,45.0,40.0,50.0
degraded,shuffle1,task-6905333b74f22949d97baa1d,5,-0.25,not-retrieval,False,retrieved notes on unrelated topics (DB errors/email-reply/SMTP); model ignored them and read source directly (correct fact found but omitted from final answer),simple-login/app,9,45.2,38.0,55.0
degraded,shuffle2,task-6905333b74f22949d97ba9de,13,-0.222,not-retrieval,False,retrieved notes generic/unrelated to the memory-spike topic being asked about,paperless-ngx/paperless-ngx,24,51.6,35.0,68.0
degraded,shuffle2,task-6905333b74f22949d97ba9e8,8,-0.2,not-retrieval,False,"retrieved notes about alias creation/session storage, unrelated to login-failure topic; model never opened the API login endpoint",simple-login/app,26,53.7,40.0,70.0
degraded,shuffle2,task-6905333b74f22949d97ba9d2,4,-0.182,not-retrieval,False,"wrong claim was self-authored from the model's own code read this same task, not sourced from any retrieved note",paperless-ngx/paperless-ngx,2,59.0,56.0,62.0
degraded,pilot30,task-6905333b74f22949d97ba9d3,4,-0.182,not-retrieval,False,retrieved notes accurate but simply don't mention the missing terms (gunicorn/qcluster),paperless-ngx/paperless-ngx,7,61.1,31.0,72.0
degraded,pilot30,task-6905333b74f22949d97ba9af,12,-0.154,not-retrieval,False,"retrieved note described a different failure scenario entirely; model explicitly noticed it didn't apply and set it aside, then reasoned independently (and wrongly)",simple-login/app,13,44.0,35.0,55.0
degraded,pilot30,task-6905333b74f22949d97ba9e8,14,-0.133,not-retrieval,False,"recurring-task confirmatory check (not in original 8): retrieved notes unrelated to header-forwarding topic; wrong ""stripped"" claim self-derived from direct code read",simple-login/app,13,62.8,53.0,71.0
degraded,shuffle1,task-6905333b74f22949d97ba9e8,7,-0.133,not-retrieval,False,"recurring-task confirmatory check (not in original 8): independent memory store (disjoint note IDs from the pilot30 occurrence above), same self-derived code-misreading, unrelated to retrieval",simple-login/app,13,55.4,45.0,71.0
