run_dir,replicate,arm,task_id,occurrence,repository,session_id,call_seq,query,n_results,n_via_match,n_via_link,sim_mean,sim_min,sim_max,note_ids,gateway_log_query,gateway_log_n_results,gateway_log_latency_ms,agg_score,reward,control_agg_score,delta,bucket,question,query_question_overlap,note_question_overlap_mean,note_question_overlap_max
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,da4c51bd-6e5c-4fcf-b351-517bcb2326bc,1,SimpleLogin startup dev mode configuration,0,0,0,,,,,SimpleLogin startup dev mode configuration,0.0,32.0,,,1.0,,,"I'm trying to understand what actually happens when SimpleLogin is started locally in development environment. I'm wondering how the backend starts up in dev mode, how configuration is loaded, which log messages indicate that it's ready to accept requests, and what ports or endpoints it exposes. 

I’m interested in how a single authenticated request is handled by the app, where the request first enters the application, how the user identity is determined at runtime, and how that authentication context is carried through request handling. The entry point and user identification flow are my main concerns here. I also want to know whether the app automatically starts any background jobs or schedulers, or if there’s anything going on besides handling incoming requests.

I'm not looking for what the code says should happen, I want to know what actually gets printed when you run it. Please don’t modify any repository source files while investigating. Temporary scripts are fine if needed, but leave the codebase unchanged and clean up anything you create when you’re done.",0.046153846153846156,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,da4c51bd-6e5c-4fcf-b351-517bcb2326bc,2,SimpleLogin startup dev environment configuration,0,0,0,,,,,SimpleLogin startup dev environment configuration,0.0,7.0,,,1.0,,,"I'm trying to understand what actually happens when SimpleLogin is started locally in development environment. I'm wondering how the backend starts up in dev mode, how configuration is loaded, which log messages indicate that it's ready to accept requests, and what ports or endpoints it exposes. 

I’m interested in how a single authenticated request is handled by the app, where the request first enters the application, how the user identity is determined at runtime, and how that authentication context is carried through request handling. The entry point and user identification flow are my main concerns here. I also want to know whether the app automatically starts any background jobs or schedulers, or if there’s anything going on besides handling incoming requests.

I'm not looking for what the code says should happen, I want to know what actually gets printed when you run it. Please don’t modify any repository source files while investigating. Temporary scripts are fine if needed, but leave the codebase unchanged and clean up anything you create when you’re done.",0.046153846153846156,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,da4c51bd-6e5c-4fcf-b351-517bcb2326bc,3,SimpleLogin startup dev mode backend configuration,4,4,0,49.9689875,42.176926,64.38624,9a1b64f2-4487-46c4-b048-5d66695239c6;d2d6fff0-14fd-4f37-a6fd-b99d949553be;335557ea-75de-4375-bff0-9a2cf5b896d5;2514d946-e096-42d2-ad90-eefa5a43a83f,SimpleLogin startup dev mode backend configuration,4.0,108.0,,,1.0,,,"I'm trying to understand what actually happens when SimpleLogin is started locally in development environment. I'm wondering how the backend starts up in dev mode, how configuration is loaded, which log messages indicate that it's ready to accept requests, and what ports or endpoints it exposes. 

I’m interested in how a single authenticated request is handled by the app, where the request first enters the application, how the user identity is determined at runtime, and how that authentication context is carried through request handling. The entry point and user identification flow are my main concerns here. I also want to know whether the app automatically starts any background jobs or schedulers, or if there’s anything going on besides handling incoming requests.

I'm not looking for what the code says should happen, I want to know what actually gets printed when you run it. Please don’t modify any repository source files while investigating. Temporary scripts are fine if needed, but leave the codebase unchanged and clean up anything you create when you’re done.",0.06153846153846154,0.03375056999544004,0.05333333333333334
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,da4c51bd-6e5c-4fcf-b351-517bcb2326bc,4,SimpleLogin startup request handling authentication background jobs,6,5,1,57.454595000000005,46.96713,65.67626,9a1b64f2-4487-46c4-b048-5d66695239c6;e711b188-4581-4be4-991a-e4fdc57b6728;d2d6fff0-14fd-4f37-a6fd-b99d949553be;335557ea-75de-4375-bff0-9a2cf5b896d5;90e1020a-6459-4492-9298-02cd1512b452;2514d946-e096-42d2-ad90-eefa5a43a83f,SimpleLogin startup request handling authentication background jobs,6.0,196.0,,,1.0,,,"I'm trying to understand what actually happens when SimpleLogin is started locally in development environment. I'm wondering how the backend starts up in dev mode, how configuration is loaded, which log messages indicate that it's ready to accept requests, and what ports or endpoints it exposes. 

I’m interested in how a single authenticated request is handled by the app, where the request first enters the application, how the user identity is determined at runtime, and how that authentication context is carried through request handling. The entry point and user identification flow are my main concerns here. I also want to know whether the app automatically starts any background jobs or schedulers, or if there’s anything going on besides handling incoming requests.

I'm not looking for what the code says should happen, I want to know what actually gets printed when you run it. Please don’t modify any repository source files while investigating. Temporary scripts are fine if needed, but leave the codebase unchanged and clean up anything you create when you’re done.",0.09230769230769231,0.029928594728545543,0.05333333333333334
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a5,2,simple-login/app,a52bd429-9ef4-4e53-94fa-697240c286a2,1,custom alias signed suffix validation,6,5,1,40.068233166666666,33.318442,48.73165,90e1020a-6459-4492-9298-02cd1512b452;e711b188-4581-4be4-991a-e4fdc57b6728;9a1b64f2-4487-46c4-b048-5d66695239c6;2514d946-e096-42d2-ad90-eefa5a43a83f;d2d6fff0-14fd-4f37-a6fd-b99d949553be;335557ea-75de-4375-bff0-9a2cf5b896d5,custom alias signed suffix validation,6.0,149.0,0.6153846153846154,0.0,0.6923076923076923,-0.0769230769230768,degraded,"I am debugging intermittent validation failures during custom alias creation that don't match the expected behavior, which seems related to how signed suffixes are verified. When attempting to create custom aliases with invalid or expired signed suffixes, what exact HTTP status codes and error messages appear in the API responses, and what corresponding validation log entries show up in the server console? Check whether any rate-limiting headers appear in the responses and what their actual values are. For successful alias creation attempts, what quota-related checks occur, what specific values get logged when the system verifies whether the user can create more aliases? Trace through the execution path to identify which component validates signed suffixes and enforces creation limits, and what conditions trigger rejection. Don't modify the repository code temporary test scripts or API calls are fine but keep the codebase unchanged.",0.0547945205479452,0.019376060272528795,0.041237113402061855
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a5,2,simple-login/app,a52bd429-9ef4-4e53-94fa-697240c286a2,2,custom alias signed suffix validation rate limit quota,0,0,0,,,,,custom alias signed suffix validation rate limit quota,9.0,1143.0,0.6153846153846154,0.0,0.6923076923076923,-0.0769230769230768,degraded,"I am debugging intermittent validation failures during custom alias creation that don't match the expected behavior, which seems related to how signed suffixes are verified. When attempting to create custom aliases with invalid or expired signed suffixes, what exact HTTP status codes and error messages appear in the API responses, and what corresponding validation log entries show up in the server console? Check whether any rate-limiting headers appear in the responses and what their actual values are. For successful alias creation attempts, what quota-related checks occur, what specific values get logged when the system verifies whether the user can create more aliases? Trace through the execution path to identify which component validates signed suffixes and enforces creation limits, and what conditions trigger rejection. Don't modify the repository code temporary test scripts or API calls are fine but keep the codebase unchanged.",0.08108108108108109,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,c27c7d06-9e23-465e-a34a-a23f3853f79a,1,email privacy anonymous aliases system,0,0,0,,,,,email privacy anonymous aliases system,9.0,1227.0,,,0.8181818181818182,,,"I'm trying to get this email privacy system with anonymous aliases running for the first time and I want to understand how all the pieces fit together during initialization.

The system has a web server, an email handler, background jobs, and some cron tasks. I need to set everything up from scratch and see what actually happens when it starts.

Here's what I'm trying to figure out:

When I run the database migrations on an empty PostgreSQL database, how many tables get created in total? And what's the exact name of the last table that gets created based on the migration output order?

For the web server startup, what's the log message that tells me it's actually ready to accept connections? I'm also curious how many milliseconds pass between the first log entry and that ready message.

The email handler can take a custom port. If I start it with port 25025, does the startup log confirm it's listening on that port? What message shows up exactly?

I want to test the registration flow. If I create a user account with email ""[testuser@example.com](mailto:testuser@example.com)"" and password ""testpass123"", then immediately try to login before activating it, what's the exact JSON error message the API returns and what HTTP status code comes with it? I'd also like to see the full curl command output. And when I query the database directly for that user, what boolean values do the activated and notification columns actually show?

Also, there are different alias limits for different account types. I want to verify how the system handles this dynamically. First, create a fresh user and call /api/user_info to see what max_alias_free_plan value the API actually returns in the JSON response. Then, experiment with changing the configuration - try setting a different limit value like 10, restart the server, create a second new user, and call /api/user_info again for that user. What are the exact API responses before and after the change? Do both users reflect the new limit or only the one created after the change?

I'm trying to understand the actual runtime behavior here, not just what the code suggests should happen. Don't modify any of the source files, but feel free to create test config files or .env files to experiment with different settings.",0.03759398496240601,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,c27c7d06-9e23-465e-a34a-a23f3853f79a,2,email privacy system anonymous aliases database migration tables web server email handler,0,0,0,,,,,email privacy system anonymous aliases database migration tables web server email handler,9.0,1818.0,,,0.8181818181818182,,,"I'm trying to get this email privacy system with anonymous aliases running for the first time and I want to understand how all the pieces fit together during initialization.

The system has a web server, an email handler, background jobs, and some cron tasks. I need to set everything up from scratch and see what actually happens when it starts.

Here's what I'm trying to figure out:

When I run the database migrations on an empty PostgreSQL database, how many tables get created in total? And what's the exact name of the last table that gets created based on the migration output order?

For the web server startup, what's the log message that tells me it's actually ready to accept connections? I'm also curious how many milliseconds pass between the first log entry and that ready message.

The email handler can take a custom port. If I start it with port 25025, does the startup log confirm it's listening on that port? What message shows up exactly?

I want to test the registration flow. If I create a user account with email ""[testuser@example.com](mailto:testuser@example.com)"" and password ""testpass123"", then immediately try to login before activating it, what's the exact JSON error message the API returns and what HTTP status code comes with it? I'd also like to see the full curl command output. And when I query the database directly for that user, what boolean values do the activated and notification columns actually show?

Also, there are different alias limits for different account types. I want to verify how the system handles this dynamically. First, create a fresh user and call /api/user_info to see what max_alias_free_plan value the API actually returns in the JSON response. Then, experiment with changing the configuration - try setting a different limit value like 10, restart the server, create a second new user, and call /api/user_info again for that user. What are the exact API responses before and after the change? Do both users reflect the new limit or only the one created after the change?

I'm trying to understand the actual runtime behavior here, not just what the code suggests should happen. Don't modify any of the source files, but feel free to create test config files or .env files to experiment with different settings.",0.07518796992481203,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,c27c7d06-9e23-465e-a34a-a23f3853f79a,3,SimpleLogin email alias database migrations table count startup,0,0,0,,,,,SimpleLogin email alias database migrations table count startup,9.0,1311.0,,,0.8181818181818182,,,"I'm trying to get this email privacy system with anonymous aliases running for the first time and I want to understand how all the pieces fit together during initialization.

The system has a web server, an email handler, background jobs, and some cron tasks. I need to set everything up from scratch and see what actually happens when it starts.

Here's what I'm trying to figure out:

When I run the database migrations on an empty PostgreSQL database, how many tables get created in total? And what's the exact name of the last table that gets created based on the migration output order?

For the web server startup, what's the log message that tells me it's actually ready to accept connections? I'm also curious how many milliseconds pass between the first log entry and that ready message.

The email handler can take a custom port. If I start it with port 25025, does the startup log confirm it's listening on that port? What message shows up exactly?

I want to test the registration flow. If I create a user account with email ""[testuser@example.com](mailto:testuser@example.com)"" and password ""testpass123"", then immediately try to login before activating it, what's the exact JSON error message the API returns and what HTTP status code comes with it? I'd also like to see the full curl command output. And when I query the database directly for that user, what boolean values do the activated and notification columns actually show?

Also, there are different alias limits for different account types. I want to verify how the system handles this dynamically. First, create a fresh user and call /api/user_info to see what max_alias_free_plan value the API actually returns in the JSON response. Then, experiment with changing the configuration - try setting a different limit value like 10, restart the server, create a second new user, and call /api/user_info again for that user. What are the exact API responses before and after the change? Do both users reflect the new limit or only the one created after the change?

I'm trying to understand the actual runtime behavior here, not just what the code suggests should happen. Don't modify any of the source files, but feel free to create test config files or .env files to experiment with different settings.",0.044444444444444446,,
20260913T035631.013586628Z-openclaw-sweatlasqa-pilot30-ctxlimit-amem-repo-sglang,pilot30-ctxlimit,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,c27c7d06-9e23-465e-a34a-a23f3853f79a,4,registration login pre-activation error API response status code,0,0,0,,,,,registration login pre-activation error API response status code,9.0,1139.0,,,0.8181818181818182,,,"I'm trying to get this email privacy system with anonymous aliases running for the first time and I want to understand how all the pieces fit together during initialization.

The system has a web server, an email handler, background jobs, and some cron tasks. I need to set everything up from scratch and see what actually happens when it starts.

Here's what I'm trying to figure out:

When I run the database migrations on an empty PostgreSQL database, how many tables get created in total? And what's the exact name of the last table that gets created based on the migration output order?

For the web server startup, what's the log message that tells me it's actually ready to accept connections? I'm also curious how many milliseconds pass between the first log entry and that ready message.

The email handler can take a custom port. If I start it with port 25025, does the startup log confirm it's listening on that port? What message shows up exactly?

I want to test the registration flow. If I create a user account with email ""[testuser@example.com](mailto:testuser@example.com)"" and password ""testpass123"", then immediately try to login before activating it, what's the exact JSON error message the API returns and what HTTP status code comes with it? I'd also like to see the full curl command output. And when I query the database directly for that user, what boolean values do the activated and notification columns actually show?

Also, there are different alias limits for different account types. I want to verify how the system handles this dynamically. First, create a fresh user and call /api/user_info to see what max_alias_free_plan value the API actually returns in the JSON response. Then, experiment with changing the configuration - try setting a different limit value like 10, restart the server, create a second new user, and call /api/user_info again for that user. What are the exact API responses before and after the change? Do both users reflect the new limit or only the one created after the change?

I'm trying to understand the actual runtime behavior here, not just what the code suggests should happen. Don't modify any of the source files, but feel free to create test config files or .env files to experiment with different settings.",0.03731343283582089,,
