replicate,task_id,repository,call_seq,rank,similarity,note_id,origin_repo,cross_repo,note_question_overlap,content_snippet
pilot30,task-6905333b74f22949d97ba9a4,simple-login/app,2,1,67,bc974ad8-7249-4af6-90cb-050e52046d0f,simple-login/app,False,0.03278688524590164,"SimpleLogin background jobs: cron.py runs scheduled tasks via command-line flags (-j): stats, notify_trial_end, notify_manual_subscription_end, notify_premium_e"
pilot30,task-6905333b74f22949d97ba9a4,simple-login/app,2,2,60,0df40c30-0ba8-463c-8aeb-c12e30aa58cf,simple-login/app,False,0.03488372093023256,"SimpleLogin configuration loading: `app/config.py` loads first. It reads optional .env file (via dotenv), then requires env vars URL, EMAIL_DOMAIN, SUPPORT_EMAI"
pilot30,task-6905333b74f22949d97ba9a4,simple-login/app,2,3,57,2c524f41-1a54-46f5-b762-a4583711b8b0,simple-login/app,False,0.023529411764705882,"SimpleLogin startup: In dev mode, `python server.py` calls `local_main()` which sets config.COLOR_LOG=True, creates Flask app via `create_app()`, enables debug "
pilot30,task-6905333b74f22949d97ba9a4,simple-login/app,2,4,57,17c478e5-b9a7-4f3a-a5af-94b151c0fab4,simple-login/app,False,0.06060606060606061,"SimpleLogin authentication: Web login is at `/auth/login` (GET/POST) - validates email+password against User.get_by(), checks disabled/deleted/activated status,"
pilot30,task-6905333b74f22949d97ba9a4,simple-login/app,2,5,58,459ce52f-f244-4683-8429-0950ae340760,simple-login/app,False,0.07920792079207921,SimpleLogin request flow: Entry point is `server.py` create_app(). Routes: / (index) redirects to dashboard or auth/login. Blueprints: /auth/* (login/logout/MFA
pilot30,task-6905333b74f22949d97ba9a5,simple-login/app,1,1,46,17c478e5-b9a7-4f3a-a5af-94b151c0fab4,simple-login/app,False,0.056074766355140186,"SimpleLogin authentication: Web login is at `/auth/login` (GET/POST) - validates email+password against User.get_by(), checks disabled/deleted/activated status,"
pilot30,task-6905333b74f22949d97ba9a5,simple-login/app,1,2,38,bc974ad8-7249-4af6-90cb-050e52046d0f,simple-login/app,False,0.03076923076923077,"SimpleLogin background jobs: cron.py runs scheduled tasks via command-line flags (-j): stats, notify_trial_end, notify_manual_subscription_end, notify_premium_e"
pilot30,task-6905333b74f22949d97ba9a5,simple-login/app,1,3,36,2c524f41-1a54-46f5-b762-a4583711b8b0,simple-login/app,False,0.021505376344086023,"SimpleLogin startup: In dev mode, `python server.py` calls `local_main()` which sets config.COLOR_LOG=True, creates Flask app via `create_app()`, enables debug "
pilot30,task-6905333b74f22949d97ba9a5,simple-login/app,1,4,36,e8a36cc7-1929-459d-97bc-5f7eb7153956,simple-login/app,False,0.02040816326530612,"SimpleLogin ports/endpoints: Web dashboard on port 7777 (dev: http://localhost:7777, prod: gunicorn). Health check at GET /health (returns 200 ""success""). Email"
pilot30,task-6905333b74f22949d97ba9a5,simple-login/app,1,5,36,459ce52f-f244-4683-8429-0950ae340760,simple-login/app,False,0.017391304347826087,SimpleLogin request flow: Entry point is `server.py` create_app(). Routes: / (index) redirects to dashboard or auth/login. Blueprints: /auth/* (login/logout/MFA
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,1,1,50,bc974ad8-7249-4af6-90cb-050e52046d0f,simple-login/app,False,0.059782608695652176,"SimpleLogin background jobs: cron.py runs scheduled tasks via command-line flags (-j): stats, notify_trial_end, notify_manual_subscription_end, notify_premium_e"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,1,2,40,2c524f41-1a54-46f5-b762-a4583711b8b0,simple-login/app,False,0.02631578947368421,"SimpleLogin startup: In dev mode, `python server.py` calls `local_main()` which sets config.COLOR_LOG=True, creates Flask app via `create_app()`, enables debug "
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,1,3,46,17c478e5-b9a7-4f3a-a5af-94b151c0fab4,simple-login/app,False,0.05454545454545454,"SimpleLogin authentication: Web login is at `/auth/login` (GET/POST) - validates email+password against User.get_by(), checks disabled/deleted/activated status,"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,1,4,45,459ce52f-f244-4683-8429-0950ae340760,simple-login/app,False,0.028901734104046242,SimpleLogin request flow: Entry point is `server.py` create_app(). Routes: / (index) redirects to dashboard or auth/login. Blueprints: /auth/* (login/logout/MFA
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,1,5,46,e8a36cc7-1929-459d-97bc-5f7eb7153956,simple-login/app,False,0.045454545454545456,"SimpleLogin ports/endpoints: Web dashboard on port 7777 (dev: http://localhost:7777, prod: gunicorn). Health check at GET /health (returns 200 ""success""). Email"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,2,1,72,1b354cf5-5d19-402f-9db8-415bd1e4100e,simple-login/app,False,0.11258278145695365,"SimpleLogin API behavior: POST /api/auth/register creates user with activated=False, notification=True, sends activation email. POST /api/auth/login on unactiva"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,2,2,61,0f6440fa-ad4a-42d7-904f-c47c393d6c31,simple-login/app,False,0.0915032679738562,"SimpleLogin (email privacy system) database migrations: 255 total migration files, all independent (no chain linking). Topological sort produces order from root"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,2,3,70,7c29c400-c05d-4c1f-831c-a9fd35cc3fc5,simple-login/app,False,0.034482758620689655,"SimpleLogin email handler: email_handler.py, uses aiosmtpd Controller. Startup with port: python email_handler.py -p PORT. Prints LOG.i(""Listen for port %s"", ar"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,2,4,64,17c478e5-b9a7-4f3a-a5af-94b151c0fab4,simple-login/app,False,0.05454545454545454,"SimpleLogin authentication: Web login is at `/auth/login` (GET/POST) - validates email+password against User.get_by(), checks disabled/deleted/activated status,"
pilot30,task-6905333b74f22949d97ba9a6,simple-login/app,2,5,63,459ce52f-f244-4683-8429-0950ae340760,simple-login/app,False,0.028901734104046242,SimpleLogin request flow: Entry point is `server.py` create_app(). Routes: / (index) redirects to dashboard or auth/login. Blueprints: /auth/* (login/logout/MFA
pilot30,task-6905333b74f22949d97ba9a7,simple-login/app,1,1,53,0f6440fa-ad4a-42d7-904f-c47c393d6c31,simple-login/app,False,0.05128205128205128,"SimpleLogin (email privacy system) database migrations: 255 total migration files, all independent (no chain linking). Topological sort produces order from root"
