run_dir,replicate,arm,task_id,occurrence,repository,session_id,call_seq,query,n_results,n_via_match,n_via_link,sim_mean,sim_min,sim_max,note_ids,gateway_log_query,gateway_log_n_results,gateway_log_latency_ms,agg_score,reward,control_agg_score,delta,bucket,question,query_question_overlap,note_question_overlap_mean,note_question_overlap_max,llm_relevant_rate,n_notes_judged,llm_relevant_majority,overlap_group,overlap_zero_group,sim_tercile
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,ca5eb0ec-5b37-493f-b218-3379d694f9fe,2,SimpleLogin configuration startup background jobs authentication,6,5,1,59.0085875,56.03298,66.91023,bc974ad8-7249-4af6-90cb-050e52046d0f;0df40c30-0ba8-463c-8aeb-c12e30aa58cf;2c524f41-1a54-46f5-b762-a4583711b8b0;17c478e5-b9a7-4f3a-a5af-94b151c0fab4;459ce52f-f244-4683-8429-0950ae340760;e8a36cc7-1929-459d-97bc-5f7eb7153956,SimpleLogin configuration startup background jobs authentication,6,1130,1.0,1.0,1.0,0.0,tied,"I'm trying to understand what actually happens when SimpleLogin is started locally in development environment. I'm wondering how the backend starts up in dev mode, how configuration is loaded, which log messages indicate that it's ready to accept requests, and what ports or endpoints it exposes. 

I’m interested in how a single authenticated request is handled by the app, where the request first enters the application, how the user identity is determined at runtime, and how that authentication context is carried through request handling. The entry point and user identification flow are my main concerns here. I also want to know whether the app automatically starts any background jobs or schedulers, or if there’s anything going on besides handling incoming requests.

I'm not looking for what the code says should happen, I want to know what actually gets printed when you run it. Please don’t modify any repository source files while investigating. Temporary scripts are fine if needed, but leave the codebase unchanged and clean up anything you create when you’re done.",0.0769230769230769,0.039512483819065,0.0609756097560975,0.6666666666666666,6,True,high,nonzero,mid_sim
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a5,2,simple-login/app,a23107ef-c6d2-4a57-b2bc-f8637ffc888d,1,alias creation signed suffix validation rate limiting,6,5,1,37.50480183333334,32.913804,46.147674,17c478e5-b9a7-4f3a-a5af-94b151c0fab4;bc974ad8-7249-4af6-90cb-050e52046d0f;2c524f41-1a54-46f5-b762-a4583711b8b0;e8a36cc7-1929-459d-97bc-5f7eb7153956;459ce52f-f244-4683-8429-0950ae340760;0df40c30-0ba8-463c-8aeb-c12e30aa58cf,alias creation signed suffix validation rate limiting,6,136,1.0,1.0,0.6923076923076923,0.3076923076923077,improved,"I am debugging intermittent validation failures during custom alias creation that don't match the expected behavior, which seems related to how signed suffixes are verified. When attempting to create custom aliases with invalid or expired signed suffixes, what exact HTTP status codes and error messages appear in the API responses, and what corresponding validation log entries show up in the server console? Check whether any rate-limiting headers appear in the responses and what their actual values are. For successful alias creation attempts, what quota-related checks occur, what specific values get logged when the system verifies whether the user can create more aliases? Trace through the execution path to identify which component validates signed suffixes and enforces creation limits, and what conditions trigger rejection. Don't modify the repository code temporary test scripts or API calls are fine but keep the codebase unchanged.",0.0821917808219178,0.0178266244425981,0.053763440860215,0.0,6,False,high,nonzero,low_sim
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9d2,18,paperless-ngx/paperless-ngx,08ecf8be-326e-4800-9b31-8917239d8d45,1,paperless-ngx document processing pipeline workflow,2,2,0,62.906942,62.67832,63.135564,473b564e-7af5-42f4-a080-c585b8a43b3f;6895ba9b-89a4-41e4-b4ba-64bf2b5bb430,paperless-ngx document processing pipeline workflow,2,139,1.0,1.0,0.9090909090909092,0.0909090909090909,improved,"I’m trying to get a big-picture understanding of how documents flow through the system. How does a new document usually enter paperless-ngx. Once a document is received, what are the main stages it goes through before it’s fully processed and available, are there any background jobs and what is used for background execution.

I’m also curious about the kind of information paperless stores for each document. What metadata fields are saved, and which ones are absolutely required versus optional or derived later during runtime-processing. Can you show with a runtime example?

Also I wonder how things like tags, correspondents, and document types are used together to organize documents in a practical way.

Please don’t make any changes to the repository itself. You can create temporary scripts for testing if needed but do clean them up once you're done.",0.0483870967741935,0.04375,0.05,0.0,2,False,low,nonzero,mid_sim
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9d3,19,paperless-ngx/paperless-ngx,b84dab17-fe3b-4f2c-8bb8-dc6a288c96d3,1,paperless-ngx document processing ingestion pipeline,1,1,0,63.358116,63.358116,63.358116,6895ba9b-89a4-41e4-b4ba-64bf2b5bb430,paperless-ngx document processing ingestion pipeline,1,142,0.8181818181818182,0.0,1.0,-0.1818181818181817,degraded,"I am trying to understand how paperless-ngx processes documents at runtime before making any changes. Once the application is up and all of its services are running, I want to submit a test PDF and observe how the ingestion pipeline actually behaves. As the document moves through the system, which services are involved, and what sequence of events shows up in the logs? I also want to upload a few more documents and watch how the system reacts after each one. Does the machine learning classifier retrain automatically on every upload, or only under certain conditions, and what log messages make it clear when training is happening versus when the classifier stays idle? After a document finishes processing, I want to see where it ends up on disk, what directory structure and filename pattern paperless-ngx uses by default, and which database tables receive new rows as part of ingestion. You should not modify or edit any existing files in the repository, but you can create temporary scripts or test documents if they help with the investigation, as long as everything you create is cleaned up when you are done.",0.0657894736842105,0.0408163265306122,0.0408163265306122,0.0,1,False,high,nonzero,mid_sim
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9d3,19,paperless-ngx/paperless-ngx,b84dab17-fe3b-4f2c-8bb8-dc6a288c96d3,2,machine learning classifier retrain training conditions logs,1,1,0,31.395003,31.395003,31.395003,6895ba9b-89a4-41e4-b4ba-64bf2b5bb430,machine learning classifier retrain training conditions logs,1,93,0.8181818181818182,0.0,1.0,-0.1818181818181817,degraded,"I am trying to understand how paperless-ngx processes documents at runtime before making any changes. Once the application is up and all of its services are running, I want to submit a test PDF and observe how the ingestion pipeline actually behaves. As the document moves through the system, which services are involved, and what sequence of events shows up in the logs? I also want to upload a few more documents and watch how the system reacts after each one. Does the machine learning classifier retrain automatically on every upload, or only under certain conditions, and what log messages make it clear when training is happening versus when the classifier stays idle? After a document finishes processing, I want to see where it ends up on disk, what directory structure and filename pattern paperless-ngx uses by default, and which database tables receive new rows as part of ingestion. You should not modify or edit any existing files in the repository, but you can create temporary scripts or test documents if they help with the investigation, as long as everything you create is cleaned up when you are done.",0.0921052631578947,0.0408163265306122,0.0408163265306122,0.0,1,False,high,nonzero,low_sim
20260906T141944.965072498Z-openclaw-sweatlasqa-pilot30-amem-task-sglang,pilot30,task-scope,task-6905333b74f22949d97ba9a5,2,simple-login/app,e525a859-c309-4469-aa5e-197dea8bb377,2,custom alias signed suffix validation error status codes quota,3,3,0,64.01373566666666,56.49016,67.878604,054d8c1e-1cc2-4af0-8ab8-ed6ce21c978a;82baf483-b56c-4ff8-b485-6c4f9d56370d;39da3d58-0dd4-4a6e-a079-16b3514f14ec,custom alias signed suffix validation error status codes quota,3,146,0.7692307692307693,0.0,0.6923076923076923,0.0769230769230769,improved,"I am debugging intermittent validation failures during custom alias creation that don't match the expected behavior, which seems related to how signed suffixes are verified. When attempting to create custom aliases with invalid or expired signed suffixes, what exact HTTP status codes and error messages appear in the API responses, and what corresponding validation log entries show up in the server console? Check whether any rate-limiting headers appear in the responses and what their actual values are. For successful alias creation attempts, what quota-related checks occur, what specific values get logged when the system verifies whether the user can create more aliases? Trace through the execution path to identify which component validates signed suffixes and enforces creation limits, and what conditions trigger rejection. Don't modify the repository code temporary test scripts or API calls are fine but keep the codebase unchanged.",0.1095890410958904,0.0767660567179412,0.1034482758620689,1.0,3,True,high,nonzero,high_sim
20260906T141944.965072498Z-openclaw-sweatlasqa-pilot30-amem-task-sglang,pilot30,task-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,50a8b526-21af-49dc-8abd-3b74eeee8055,2,migration table count database columns user info API,2,2,0,52.8044475,50.272655,55.33624,fa6fbeda-4387-4111-a41c-7a0cab59a589;a2e31803-4110-4da9-a877-a91ace3bfc6e,migration table count database columns user info API,2,122,0.6363636363636364,0.0,0.8181818181818182,-0.1818181818181818,degraded,"I'm trying to get this email privacy system with anonymous aliases running for the first time and I want to understand how all the pieces fit together during initialization.

The system has a web server, an email handler, background jobs, and some cron tasks. I need to set everything up from scratch and see what actually happens when it starts.

Here's what I'm trying to figure out:

When I run the database migrations on an empty PostgreSQL database, how many tables get created in total? And what's the exact name of the last table that gets created based on the migration output order?

For the web server startup, what's the log message that tells me it's actually ready to accept connections? I'm also curious how many milliseconds pass between the first log entry and that ready message.

The email handler can take a custom port. If I start it with port 25025, does the startup log confirm it's listening on that port? What message shows up exactly?

I want to test the registration flow. If I create a user account with email ""[testuser@example.com](mailto:testuser@example.com)"" and password ""testpass123"", then immediately try to login before activating it, what's the exact JSON error message the API returns and what HTTP status code comes with it? I'd also like to see the full curl command output. And when I query the database directly for that user, what boolean values do the activated and notification columns actually show?

Also, there are different alias limits for different account types. I want to verify how the system handles this dynamically. First, create a fresh user and call /api/user_info to see what max_alias_free_plan value the API actually returns in the JSON response. Then, experiment with changing the configuration - try setting a different limit value like 10, restart the server, create a second new user, and call /api/user_info again for that user. What are the exact API responses before and after the change? Do both users reflect the new limit or only the one created after the change?

I'm trying to understand the actual runtime behavior here, not just what the code suggests should happen. Don't modify any of the source files, but feel free to create test config files or .env files to experiment with different settings.",0.037037037037037,0.0854380242311276,0.096551724137931,1.0,2,True,low,nonzero,low_sim
20260906T141944.965072498Z-openclaw-sweatlasqa-pilot30-amem-task-sglang,pilot30,task-scope,task-6905333b74f22949d97ba9a7,4,simple-login/app,469b1758-8aa1-45c3-945e-d86ec17fd049,2,SimpleLogin mailbox verification rate limit bounce VERP job,3,3,0,59.418773666666674,48.921782,69.299394,25051916-4f84-4a3c-bf55-701a0bc395c1;e1148e2d-2a03-48de-a91e-74728621f7a1;6765c77f-e8d9-4331-a2b0-906fb44f976e,SimpleLogin mailbox verification rate limit bounce VERP job,3,132,0.8461538461538461,0.0,1.0,-0.1538461538461538,degraded,"I want to understand how SimpleLogin processes multi step workflows at runtime.

In scenarios where a mailbox verification code is submitted incorrectly multiple times in succession, what observable state changes and enforcement mechanisms does the running system apply? Trace the actual runtime behavior to determine what limits exist, how failed attempts are tracked, and what ultimately prevents further submissions.

For background tasks that are scheduled and later picked up for execution, trace the complete lifecycle from initial creation through final completion. If a task encounters an error during execution, what recovery or retry behavior is applied, and what observable state reflects that failure?

During email forwarding through an alias, what exact format is used for the special address generated to handle delivery failures? If a failure notification arrives at this address, trace how the system identifies the original email, what state changes are recorded, and how the handling behavior differs depending on the direction of the original message.

Temporary inspection or debugging tools may be used to observe runtime behavior, but source files should not be modified and any temporary artifacts should be cleaned up afterward.",0.032258064516129,0.0401585952987822,0.0467289719626168,0.6666666666666666,3,True,low,nonzero,mid_sim
20260906T141944.965072498Z-openclaw-sweatlasqa-pilot30-amem-task-sglang,pilot30,task-scope,task-6905333b74f22949d97ba9a8,5,simple-login/app,0acf5e99-9a9b-4594-81ad-8f96d792414f,2,SimpleLogin port health alias creation DB failure,4,4,0,49.924067,43.849152,55.25483,bedcb59d-f56c-4d17-9e1c-fe1ba25282c4;12a8ff73-7d68-4005-8c03-0db07444e6e9;ec5c2ab0-9160-47ce-ac35-73b96ae95edd;932930b0-8921-4a3c-bc86-0df8810a5c7f,SimpleLogin port health alias creation DB failure,4,102,,,1.0,,,"I'm onboarding into the SimpleLogin codebase and need to understand how it actually behaves when running. I want to know what port the Flask app binds to and what the startup logs look like when it initializes. For the health check, what response body and status code does it return? When a user creates an alias through the API, what does the actual JSON response look like, and what ends up in the database, which table, and what values? I'm also curious about failure behavior. If PostgreSQL isn't available when the app starts, what error appears, and where does it break? I need to see actual runtime output, not just what the code says should happen. You can create temporary test scripts, but don't modify the repository and clean up afterward.",0.1,0.0424589201877934,0.0666666666666666,1.0,4,True,high,nonzero,low_sim
20260906T141944.965072498Z-openclaw-sweatlasqa-pilot30-amem-task-sglang,pilot30,task-scope,task-6905333b74f22949d97ba9aa,7,simple-login/app,d949a211-de4a-44ff-9bb3-1b42d771a7e9,2,SimpleLogin email handler job runner web server startup logs verification,2,2,0,63.86321,60.31587,67.41055,6b4e22df-a2a6-4a90-83bc-24a3d08abf56;35484f44-83af-427b-87d3-ea4a1022c8b9,SimpleLogin email handler job runner web server startup logs verification,2,166,0.6666666666666666,0.0,0.75,-0.0833333333333333,degraded,"I'm new to SimpleLogin and trying to get everything running locally. Once the application starts, how can I tell that the web server, email handler, and job runner are actually up and responding? What should I see in the logs or dashboard UI that confirms users can sign in and manage their aliases?

After it's running, try performing some basic user actions like creating a new account, creating an alias, and having that alias receive an email. What happens when a new account interacts with aliases or tries to receive mail, and how does the system show that these actions were handled correctly? What should I see at runtime that confirms the behavior you would expect?

While the application is active, do the email handler and job runner automatically come online in the background to support email activity or data handling? What behavior suggests that these internal components are functioning as intended across different situations?

Do not modify the source code. You can create temporary testing data such as accounts or aliases but clean them up when you are done.",0.0869565217391304,0.08974175035868,0.0941176470588235,0.5,2,True,high,nonzero,high_sim
