run_dir,replicate,arm,task_id,occurrence,repository,session_id,call_seq,query,n_results,n_via_match,n_via_link,sim_mean,sim_min,sim_max,note_ids,gateway_log_query,gateway_log_n_results,gateway_log_latency_ms,agg_score,reward,control_agg_score,delta,bucket
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,ca5eb0ec-5b37-493f-b218-3379d694f9fe,1,SimpleLogin backend startup configuration dev mode,0,0,0,,,,,SimpleLogin backend startup configuration dev mode,0,24,1.0,1.0,1.0,0.0,tied
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a4,1,simple-login/app,ca5eb0ec-5b37-493f-b218-3379d694f9fe,2,SimpleLogin configuration startup background jobs authentication,6,5,1,59.008587500000004,56.03298,66.91023,bc974ad8-7249-4af6-90cb-050e52046d0f;0df40c30-0ba8-463c-8aeb-c12e30aa58cf;2c524f41-1a54-46f5-b762-a4583711b8b0;17c478e5-b9a7-4f3a-a5af-94b151c0fab4;459ce52f-f244-4683-8429-0950ae340760;e8a36cc7-1929-459d-97bc-5f7eb7153956,SimpleLogin configuration startup background jobs authentication,6,1130,1.0,1.0,1.0,0.0,tied
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a5,2,simple-login/app,a23107ef-c6d2-4a57-b2bc-f8637ffc888d,1,alias creation signed suffix validation rate limiting,6,5,1,37.50480183333334,32.913804,46.147674,17c478e5-b9a7-4f3a-a5af-94b151c0fab4;bc974ad8-7249-4af6-90cb-050e52046d0f;2c524f41-1a54-46f5-b762-a4583711b8b0;e8a36cc7-1929-459d-97bc-5f7eb7153956;459ce52f-f244-4683-8429-0950ae340760;0df40c30-0ba8-463c-8aeb-c12e30aa58cf,alias creation signed suffix validation rate limiting,6,136,1.0,1.0,0.6923076923076923,0.3076923076923077,improved
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,e4e8ddaa-4cd2-4009-8851-0a17f77270d3,1,email privacy system anonymous aliases database migration server startup,0,0,0,,,,,email privacy system anonymous aliases database migration server startup,7,424,0.8181818181818182,0.0,0.8181818181818182,0.0,tied
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a6,3,simple-login/app,e4e8ddaa-4cd2-4009-8851-0a17f77270d3,2,SimpleLogin database migration tables server startup email handler API registration login user_info,0,0,0,,,,,SimpleLogin database migration tables server startup email handler API registration login user_info,10,121,0.8181818181818182,0.0,0.8181818181818182,0.0,tied
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a7,4,simple-login/app,5a965d27-109c-4c02-93d0-1f5500343bd6,1,SimpleLogin multi step workflow mailbox verification background tasks email forwarding aliases,0,0,0,,,,,SimpleLogin multi step workflow mailbox verification background tasks email forwarding aliases,10,1625,1.0,1.0,1.0,0.0,tied
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a7,4,simple-login/app,5a965d27-109c-4c02-93d0-1f5500343bd6,2,mailbox verification code multi-step workflow enforcement failed attempts rate limit,0,0,0,,,,,mailbox verification code multi-step workflow enforcement failed attempts rate limit,10,138,1.0,1.0,1.0,0.0,tied
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a8,5,simple-login/app,d487036a-70db-482f-a9eb-4b1a5d0cace8,1,SimpleLogin codebase Flask port database API,0,0,0,,,,,SimpleLogin codebase Flask port database API,13,220,1.0,1.0,1.0,0.0,tied
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a8,5,simple-login/app,d487036a-70db-482f-a9eb-4b1a5d0cace8,2,SimpleLogin runtime startup health check alias creation database PostgreSQL error,0,0,0,,,,,SimpleLogin runtime startup health check alias creation database PostgreSQL error,11,173,1.0,1.0,1.0,0.0,tied
20260906T141944.964671697Z-openclaw-sweatlasqa-pilot30-amem-repo-sglang,pilot30,repo-scope,task-6905333b74f22949d97ba9a9,6,simple-login/app,6f1d9043-6186-4861-a3a5-3e7d987f0f0c,1,SimpleLogin alias reply routing pipeline,0,0,0,,,,,SimpleLogin alias reply routing pipeline,13,1775,0.4,0.0,0.4,0.0,tied
